address_id,address,address2,district,city_id,postal_code
1,47 MySakila Drive,NULL," ",300,NULL
2,28 MySQL Boulevard,NULL," ",576,NULL
3,23 Workhaven Lane,NULL," ",300,NULL
4,1411 Lillydale Drive,NULL," ",576,NULL
5,1913 Hanoi Way,NULL," ",463,35200
6,1121 Loja Avenue,NULL," ",449,17886
7,692 Joliet Street,NULL," ",38,83579
8,1566 Inegl Manor,NULL," ",349,53561
9,53 Idfu Parkway,NULL," ",361,42399
10,1795 Santiago de Compostela Way,NULL," ",295,18743
11,900 Santiago de Compostela Parkway,NULL," ",280,93896
12,478 Joliet Way,NULL," ",200,77948
13,613 Korolev Drive,NULL," ",329,45844
14,1531 Sal Drive,NULL," ",162,53628
15,1542 Tarlac Parkway,NULL," ",440,1027
16,808 Bhopal Manor,NULL," ",582,10672
17,270 Amroha Parkway,NULL," ",384,29610
18,770 Bydgoszcz Avenue,NULL," ",120,16266
19,419 Iligan Lane,NULL," ",76,72878
20,360 Toulouse Parkway,NULL," ",495,54308
21,270 Toulon Boulevard,NULL," ",156,81766
22,320 Brest Avenue,NULL," ",252,43331
23,1417 Lancaster Avenue,NULL," ",267,72192
24,1688 Okara Way,NULL," ",327,21954
25,262 A Corua (La Corua) Parkway,NULL," ",525,34418
26,28 Charlotte Amalie Street,NULL," ",443,37551
27,1780 Hino Boulevard,NULL," ",303,7716
28,96 Tafuna Way,NULL," ",128,99865
29,934 San Felipe de Puerto Plata Street,NULL," ",472,99780
30,18 Duisburg Boulevard,NULL," ",121,58327
31,217 Botshabelo Place,NULL," ",138,49521
32,1425 Shikarpur Manor,NULL," ",346,65599
33,786 Aurora Avenue,NULL," ",474,65750
34,1668 Anpolis Street,NULL," ",316,50199
35,33 Gorontalo Way,NULL," ",257,30348
36,176 Mandaluyong Place,NULL," ",239,65213
37,127 Purnea (Purnia) Manor,NULL," ",17,79388
38,61 Tama Street,NULL," ",284,94065
39,391 Callao Drive,NULL," ",544,34021
40,334 Munger (Monghyr) Lane,NULL," ",31,38145
41,1440 Fukuyama Loop,NULL," ",362,47929
42,269 Cam Ranh Parkway,NULL," ",115,34689
